ano,tipo_dia,fase_dia,condicao_metereologica,mortos
2022,Dia Útil,Plena Noite,Chuva,178
2022,Dia Útil,Plena Noite,Céu Claro,934
2022,Dia Útil,Plena Noite,Garoa/Chuvisco,61
2022,Dia Útil,Plena Noite,Ignorado,38
2022,Dia Útil,Plena Noite,Nevoeiro/Neblina,28
2022,Dia Útil,Plena Noite,Nublado,251
2022,Dia Útil,Plena Noite,Vento,6
2022,Dia Útil,Pleno dia,Chuva,148
2022,Dia Útil,Pleno dia,Céu Claro,879
2022,Dia Útil,Pleno dia,Garoa/Chuvisco,43
2022,Dia Útil,Pleno dia,Ignorado,4
2022,Dia Útil,Pleno dia,Nevoeiro/Neblina,4
2022,Dia Útil,Pleno dia,Nublado,193
2022,Dia Útil,Pleno dia,Sol,156
2022,Fim de Semana,Amanhecer,Chuva,11
2022,Fim de Semana,Amanhecer,Céu Claro,109
2022,Fim de Semana,Amanhecer,Garoa/Chuvisco,8
2022,Fim de Semana,Amanhecer,Ignorado,6
2022,Fim de Semana,Amanhecer,Nevoeiro/Neblina,5
2022,Fim de Semana,Amanhecer,Nublado,21
2022,Fim de Semana,Amanhecer,Sol,2
2022,Fim de Semana,Amanhecer,Vento,1
2022,Fim de Semana,Anoitecer,Chuva,5
2022,Fim de Semana,Anoitecer,Céu Claro,75
2022,Fim de Semana,Anoitecer,Garoa/Chuvisco,1
2022,Fim de Semana,Anoitecer,Ignorado,2
2022,Fim de Semana,Anoitecer,Nublado,14
2022,Fim de Semana,Anoitecer,Sol,3
2022,Fim de Semana,Plena Noite,Chuva,79
2022,Fim de Semana,Plena Noite,Céu Claro,704
2022,Fim de Semana,Plena Noite,Garoa/Chuvisco,49
2022,Fim de Semana,Plena Noite,Ignorado,49
2022,Fim de Semana,Plena Noite,Nevoeiro/Neblina,19
2022,Fim de Semana,Plena Noite,Nublado,215
2022,Fim de Semana,Plena Noite,Vento,2
2022,Fim de Semana,Pleno dia,Chuva,81
2022,Fim de Semana,Pleno dia,Céu Claro,455
2022,Fim de Semana,Pleno dia,Garoa/Chuvisco,20
2022,Fim de Semana,Pleno dia,Nevoeiro/Neblina,2
2022,Fim de Semana,Pleno dia,Nublado,111
2022,Fim de Semana,Pleno dia,Sol,68
2023,Dia Útil,Amanhecer,Chuva,27
2023,Dia Útil,Amanhecer,Céu Claro,168
2023,Dia Útil,Amanhecer,Garoa/Chuvisco,12
2023,Dia Útil,Amanhecer,Ignorado,10
2023,Dia Útil,Amanhecer,Nevoeiro/Neblina,17
2023,Dia Útil,Amanhecer,Nublado,47
2023,Dia Útil,Amanhecer,Sol,4
2023,Dia Útil,Anoitecer,Chuva,12
2023,Dia Útil,Anoitecer,Céu Claro,119
2023,Dia Útil,Anoitecer,Garoa/Chuvisco,3
2023,Dia Útil,Anoitecer,Ignorado,3
2023,Dia Útil,Anoitecer,Nevoeiro/Neblina,2
2023,Dia Útil,Anoitecer,Nublado,36
2023,Dia Útil,Anoitecer,Sol,2
2023,Dia Útil,Anoitecer,Vento,1
2023,Dia Útil,Plena Noite,Chuva,128
2023,Dia Útil,Plena Noite,Céu Claro,991
2023,Dia Útil,Plena Noite,Garoa/Chuvisco,45
2023,Dia Útil,Plena Noite,Ignorado,29
2023,Dia Útil,Plena Noite,Nevoeiro/Neblina,33
2023,Dia Útil,Plena Noite,Nublado,253
2023,Dia Útil,Plena Noite,Vento,5
2023,Dia Útil,Pleno dia,Chuva,175
2023,Dia Útil,Pleno dia,Céu Claro,930
2023,Dia Útil,Pleno dia,Garoa/Chuvisco,42
2023,Dia Útil,Pleno dia,Ignorado,2
2023,Dia Útil,Pleno dia,Nevoeiro/Neblina,3
2023,Dia Útil,Pleno dia,Nublado,160
2023,Dia Útil,Pleno dia,Sol,170
2023,Fim de Semana,Amanhecer,Chuva,4
2023,Fim de Semana,Amanhecer,Céu Claro,135
2023,Fim de Semana,Amanhecer,Garoa/Chuvisco,5
2023,Fim de Semana,Amanhecer,Ignorado,5
2023,Fim de Semana,Amanhecer,Nevoeiro/Neblina,17
2023,Fim de Semana,Amanhecer,Nublado,33
2023,Fim de Semana,Amanhecer,Sol,4
2023,Fim de Semana,Anoitecer,Chuva,18
2023,Fim de Semana,Anoitecer,Céu Claro,52
2023,Fim de Semana,Anoitecer,Garoa/Chuvisco,2
2023,Fim de Semana,Anoitecer,Ignorado,5
2023,Fim de Semana,Anoitecer,Nublado,18
2023,Fim de Semana,Plena Noite,Chuva,72
2023,Fim de Semana,Plena Noite,Céu Claro,816
2023,Fim de Semana,Plena Noite,Garoa/Chuvisco,36
2023,Fim de Semana,Plena Noite,Ignorado,31
2023,Fim de Semana,Plena Noite,Nevoeiro/Neblina,22
2023,Fim de Semana,Plena Noite,Nublado,190
2023,Fim de Semana,Plena Noite,Vento,1
2023,Fim de Semana,Pleno dia,Chuva,60
2023,Fim de Semana,Pleno dia,Céu Claro,499
2023,Fim de Semana,Pleno dia,Garoa/Chuvisco,18
2023,Fim de Semana,Pleno dia,Ignorado,1
2023,Fim de Semana,Pleno dia,Nevoeiro/Neblina,8
2023,Fim de Semana,Pleno dia,Nublado,57
2023,Fim de Semana,Pleno dia,Sol,89
2024,Dia Útil,Amanhecer,Chuva,15
2024,Dia Útil,Amanhecer,Céu Claro,125
2024,Dia Útil,Amanhecer,Garoa/Chuvisco,5
2024,Dia Útil,Amanhecer,Ignorado,4
2024,Dia Útil,Amanhecer,Nevoeiro/Neblina,29
2024,Dia Útil,Amanhecer,Nublado,22
2024,Dia Útil,Amanhecer,Sol,1
2024,Dia Útil,Anoitecer,Chuva,17
2024,Dia Útil,Anoitecer,Céu Claro,123
2024,Dia Útil,Anoitecer,Garoa/Chuvisco,4
2024,Dia Útil,Anoitecer,Ignorado,1
2024,Dia Útil,Anoitecer,Nevoeiro/Neblina,2
